"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_id_noversion","gene_name","gene_label","entrezid","direction"
1.77768083200918,1.77659603956326,7.03097010551218,2.70264042854538e-11,5.48906271037567e-07,14.9983611558942,"ENSG00000275993.4","ENSG00000275993","ENSG00000275993","ENSG00000275993",102724428,"up"
1.01771660275518,7.31870827051977,5.8321778881287,1.99591248021474e-08,0.000202684912365807,8.99391063670515,"ENSG00000179094.18","ENSG00000179094","PER1","PER1",5187,"up"
0.745187447658047,7.01320676329573,5.29565495167261,2.93093987938274e-07,0.00198424629834212,6.44879289258841,"ENSG00000198848.14","ENSG00000198848","CES1","CES1",1066,"up"
0.503116333398817,6.62155755523246,4.97341207804308,1.34697823214694e-06,0.00551524277412615,5.03136754459499,"ENSG00000102804.17","ENSG00000102804","TSC22D1","TSC22D1",8848,"up"
-1.60425895758248,-2.14576265171337,-4.95718740849814,1.45182877253191e-06,0.00551524277412615,4.37286238224556,"ENSG00000309281.1","ENSG00000309281","ENSG00000309281","ENSG00000309281",NA,"down"
0.447649150746934,6.33292943461029,4.93214764726361,1.62931839708306e-06,0.00551524277412615,4.83351836950143,"ENSG00000121671.13","ENSG00000121671","CRY2","CRY2",1408,"up"
1.03494264073919,0.641128488580479,4.88437457875768,2.0279646475981e-06,0.00588399457038819,4.51644581728278,"ENSG00000270885.3","ENSG00000270885","RASL10B","RASL10B",91608,"up"
-1.03929876669065,-1.75233782418876,-4.82510654511435,2.65488730779631e-06,0.00614637192766234,3.94419725599663,"ENSG00000272733.1","ENSG00000272733","ENSG00000272733","ENSG00000272733",NA,"down"
0.796986710487781,9.88078882256457,4.81945260185885,2.72365078035259e-06,0.00614637192766234,4.35809191926606,"ENSG00000120129.7","ENSG00000120129","DUSP1","DUSP1",1843,"up"
-0.478341382678078,3.20622907991089,-4.7758578832052,3.31480482342601e-06,0.00637073749647606,4.21913590497145,"ENSG00000132436.14","ENSG00000132436","FIGNL1","FIGNL1",63979,"down"
-0.921506567304927,2.82840850931922,-4.75641660725473,3.61673791352643e-06,0.00637073749647606,4.14811153573004,"ENSG00000184156.18","ENSG00000184156","KCNQ3","KCNQ3",3786,"down"
0.514913593107925,4.41832794674858,4.69313797966734,4.79461871791714e-06,0.00637073749647606,3.88318607433043,"ENSG00000185052.14","ENSG00000185052","SLC24A3","SLC24A3",57419,"up"
-0.416055482329843,1.44229221768605,-4.69310461413562,4.795327971422e-06,0.00637073749647606,3.88555967519496,"ENSG00000269958.1","ENSG00000269958","ENSG00000269958","ENSG00000269958",NA,"down"
0.417968298070771,5.30316074862547,4.67822317657162,5.12195890036652e-06,0.00637073749647606,3.79058373021407,"ENSG00000116791.15","ENSG00000116791","CRYZ","CRYZ",1429,"up"
0.355529894912857,5.82238515853238,4.6744105078331,5.20903445041753e-06,0.00637073749647606,3.75075378913892,"ENSG00000183864.7","ENSG00000183864","TOB2","TOB2",10766,"up"
1.22571697181789,-0.994760006252841,4.67346686851382,5.23080508753725e-06,0.00637073749647606,3.57447336050977,"ENSG00000234880.1","ENSG00000234880","LINC00163","LINC00163",727699,"up"
0.676921841498342,8.94015093659167,4.65544321482906,5.66386396723062e-06,0.00637073749647606,3.66313679083468,"ENSG00000143878.10","ENSG00000143878","RHOB","RHOB",388,"up"
-0.566485511087306,5.15869498889615,-4.62618379851478,6.44140949119976e-06,0.00637073749647606,3.56894424827261,"ENSG00000196739.15","ENSG00000196739","COL27A1","COL27A1",85301,"down"
0.378067201536478,6.01651445839056,4.62160155357138,6.5721369628944e-06,0.00637073749647606,3.52685072489219,"ENSG00000079739.18","ENSG00000079739","PGM1","PGM1",5236,"up"
0.892703691142272,2.227340952354,4.60968070359087,6.92431302818049e-06,0.00637073749647606,3.54100306179392,"ENSG00000169218.15","ENSG00000169218","RSPO1","RSPO1",284654,"up"
-1.58999957031058,-2.35860628305399,-4.60833191576448,6.96528622699239e-06,0.00637073749647606,3.05107600595221,"ENSG00000228696.13","ENSG00000228696","ARL17B","ARL17B",51326,"down"
0.550824940346596,5.50991449140162,4.5985928851061,7.26814433820172e-06,0.00637073749647606,3.45096445741523,"ENSG00000196139.15","ENSG00000196139","AKR1C3","AKR1C3",8644,"up"
0.567952981818712,0.0861019616643313,4.59057115484282,7.52708583729011e-06,0.00637073749647606,3.37098419528084,"ENSG00000260708.3","ENSG00000260708","TBC1D22A-DT","TBC1D22A-DT",119863861,"up"
