"gene_id","gene_label","female_sig","male_sig","female_logFC","male_logFC"
"ENSG00000211448.14","DIO2",TRUE,TRUE,4.08740627256376,3.4918401366234
"ENSG00000164694.18","FNDC1",TRUE,TRUE,4.0325447324113,3.27845763277428
"ENSG00000123496.9","IL13RA2",TRUE,TRUE,4.66020869565322,2.60496363483455
"ENSG00000165376.13","CLDN2",TRUE,TRUE,5.06289083356988,2.1037869611805
"ENSG00000182463.17","TSHZ2",TRUE,TRUE,2.21556767216633,1.68061275893385
"ENSG00000139973.19","SYT16",TRUE,TRUE,3.70595890268157,1.71159454433095
"ENSG00000244694.8","PTCHD4",TRUE,TRUE,3.07561355711158,1.74774222227038
"ENSG00000187955.14","COL14A1",TRUE,TRUE,3.01132848602432,2.27421940030193
"ENSG00000178401.17","DNAJC22",TRUE,TRUE,3.08963564527951,2.73986844311974
"ENSG00000156011.19","PSD3",TRUE,TRUE,1.48102252490831,1.00690182219108
"ENSG00000138185.21","ENTPD1",TRUE,FALSE,1.38056654605535,0.938451810025788
"ENSG00000134247.11","PTGFRN",TRUE,TRUE,1.6128242979795,1.61367333559508
"ENSG00000139330.6","KERA",TRUE,TRUE,3.63140573766892,1.88787114072032
"ENSG00000149090.14","PAMR1",TRUE,TRUE,2.62566220217694,2.02433923170996
"ENSG00000123500.10","COL10A1",TRUE,TRUE,4.95502448941028,4.10263046624445
"ENSG00000049323.17","LTBP1",TRUE,TRUE,1.63193836993648,1.37478236705199
"ENSG00000179954.16","SSC5D",TRUE,TRUE,2.10081687632772,1.9012811560064
"ENSG00000125869.11","LAMP5",TRUE,TRUE,3.14301966432287,2.19213435299178
"ENSG00000172987.14","HPSE2",TRUE,TRUE,2.99759359585542,2.05143336552896
"ENSG00000115641.20","FHL2",TRUE,TRUE,1.82624878065718,2.03822043432544
"ENSG00000117600.15","PLPPR4",TRUE,TRUE,2.80389998469022,2.07812756025848
"ENSG00000164171.12","ITGA2",TRUE,FALSE,1.99354483181592,0.84072655180765
"ENSG00000168675.20","LDLRAD4",TRUE,TRUE,1.32182217397879,1.01192701936764
"ENSG00000237807.5","LINC02984",TRUE,TRUE,1.94148848216936,1.4527564261891
