"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_id_noversion","gene_name","gene_label","entrezid","direction"
-1.74830563267797,2.58257518139843,-5.76524714301045,2.81784161517579e-08,0.000572303632042204,8.60631673075539,"ENSG00000293514.2","ENSG00000293514","CUTALP","CUTALP",253039,"down"
6.95539886799273,-0.417552322892853,4.9461357176433,1.5288716316006e-06,0.0113869825980255,4.08926946201692,"ENSG00000224114.1","ENSG00000224114","ENSG00000224114","ENSG00000224114",100271063,"up"
-2.95910387238938,-0.593347413001587,-4.92522588097118,1.68197675007763e-06,0.0113869825980255,4.34011567204166,"ENSG00000165376.13","ENSG00000165376","CLDN2","CLDN2",9075,"down"
8.38451655274355,-0.689072590434473,4.82335576393886,2.67782781790607e-06,0.0135966707454181,3.33238971681995,"ENSG00000213058.3","ENSG00000213058","ENSG00000213058","ENSG00000213058",NA,"up"
-1.83754388730482,-1.47714766096648,-4.74552512122874,3.79731778365715e-06,0.0154247048372154,3.26619408723778,"ENSG00000276975.4","ENSG00000276975","HYDIN2","HYDIN2",NA,"down"
-1.35006143934747,-1.25670351331493,-4.64749192065707,5.86571412706596e-06,0.0198554423201183,2.97358730761504,"ENSG00000263432.2","ENSG00000263432","RN7SL689P","RN7SL689P",106481111,"down"
-1.41418561556871,-0.783234966402221,-4.46591019611172,1.28927175420362e-05,0.0374072990398222,2.53119788631864,"ENSG00000130234.14","ENSG00000130234","ACE2","ACE2",59272,"down"
5.9852586456107,-1.52410541961742,4.41074251400246,1.63098661081871e-05,0.04140667258216,1.84914189916082,"ENSG00000239528.1","ENSG00000239528","RPS14P8","RPS14P8",NA,"up"
-2.31007997563893,-1.74289269091893,-4.38031988382812,1.85360210300178e-05,0.0418296207910735,1.65758045483282,"ENSG00000188765.7","ENSG00000188765","TMSB4XP2","TMSB4XP2",NA,"down"
-1.99436435835062,-2.21566101479904,-4.33688449056172,2.22409606608981e-05,0.0451713911022841,1.8828462662474,"ENSG00000139973.19","ENSG00000139973","SYT16","SYT16",83851,"down"
2.4594879899571,0.361161070701945,4.28755200876196,2.73094472805832e-05,0.0504231703880586,1.82607187493793,"ENSG00000107593.17","ENSG00000107593","PKD2L1","PKD2L1",9033,"up"
-1.07655982224959,-0.862494453318539,-4.22212042500505,3.5758353235548e-05,0.0605210128511649,1.64631293117231,"ENSG00000298775.1","ENSG00000298775","ENSG00000298775","ENSG00000298775",NA,"down"
-1.08761028300564,5.46089364023568,-4.07242381880715,6.54709630482281e-05,0.102285789193039,1.50144846830764,"ENSG00000137672.14","ENSG00000137672","TRPC6","TRPC6",7225,"down"
2.93626986855014,-0.625371515665975,4.0383841542514,7.4949510817844e-05,0.104762428462361,0.887155653023616,"ENSG00000165246.16","ENSG00000165246","NLGN4Y","NLGN4Y",22829,"up"
-2.70243601632456,-0.26843533245376,-4.01438509982742,8.24028302916249e-05,0.104762428462361,0.856636166652274,"ENSG00000110786.19","ENSG00000110786","PTPN5","PTPN5",84867,"down"
-1.52511605656509,-1.9005092135281,-4.00857363861481,8.43109946275303e-05,0.104762428462361,0.783256601364551,"ENSG00000291242.2","ENSG00000291242","ENSG00000291242","ENSG00000291242",NA,"down"
-1.12802132112887,-1.17449356450526,-3.99800596814335,8.78890729634071e-05,0.104762428462361,0.897761303687027,"ENSG00000288095.3","ENSG00000288095","ENSG00000288095","ENSG00000288095",NA,"down"
-1.60502059249542,-1.56528071597363,-3.95705667326599,0.000103165900199321,0.104762428462361,0.781365897782921,"ENSG00000293303.2","ENSG00000293303","ENSG00000293303","ENSG00000293303",NA,"down"
-1.15281828000827,6.02411853082432,-3.95129862774184,0.000105506475508539,0.104762428462361,1.06248274571782,"ENSG00000164171.12","ENSG00000164171","ITGA2","ITGA2",3673,"down"
-1.23922643709272,-1.06714434043296,-3.94619289739855,0.000107624022608826,0.104762428462361,0.707703195688532,"ENSG00000294531.1","ENSG00000294531","ENSG00000294531","ENSG00000294531",NA,"down"
-0.412823228548643,5.54051904411989,-3.94453189905352,0.000108321565618393,0.104762428462361,1.03844969917426,"ENSG00000146833.17","ENSG00000146833","TRIM4","TRIM4",89122,"down"
-1.28318429308256,7.78680364919254,-3.92330371904368,0.000117623271622643,0.10790942452842,0.953511226624545,"ENSG00000176907.5","ENSG00000176907","TCIM","TCIM",56892,"down"
2.59063495298206,-1.96664719754219,3.91343410604164,0.000122201711676695,0.10790942452842,0.453559352753006,"ENSG00000225315.3","ENSG00000225315","ENSG00000225315","ENSG00000225315",NA,"up"
-0.480042999686175,5.45887674580692,-3.88194217324789,0.000137968324405994,0.112933770427333,0.819292452955326,"ENSG00000164904.19","ENSG00000164904","ALDH7A1","ALDH7A1",501,"down"
3.74019866137733,0.500303558564314,3.88006039332562,0.000139012518989824,0.112933770427333,0.535058435195169,"ENSG00000293442.2","ENSG00000293442","PRKY","PRKY",5616,"up"
-1.18646732612919,1.55963002188252,-3.86741354166418,0.00014587574586392,0.113951399942162,0.75393454410213,"ENSG00000228506.5","ENSG00000228506","PNISR-AS1","PNISR-AS1",NA,"down"
1.46771102128094,-1.00015314229503,3.7878018517096,0.000197411159114684,0.148497060800713,0.238775284974462,"ENSG00000272279.2","ENSG00000272279","ENSG00000272279","ENSG00000272279",NA,"up"
-1.82399734350804,4.85823151487128,-3.75991700309565,0.000219288502376405,0.152971730153055,0.430769669638442,"ENSG00000189223.16","ENSG00000189223","PAX8-AS1","PAX8-AS1",654433,"down"
