"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_id","gene_label"
4.12607382291014,2.71200614394519,10.927538666765,3.14893202832449e-22,6.39548094952705e-18,39.6760908879089,"ENSG00000164694.18","FNDC1"
4.18725771853521,1.6886383664884,10.3910922604065,1.29841311590045e-20,1.3185385191969e-16,36.0944856735332,"ENSG00000211448.14","DIO2"
4.76922954570498,1.85769354789964,9.87435534420617,4.42798225605737e-19,2.99774398735084e-15,32.5223145099925,"ENSG00000123496.9","IL13RA2"
5.19781800102994,-0.774298887036098,9.6781739504758,1.66459651694696e-18,8.4519888147982e-15,30.985120547372,"ENSG00000165376.13","CLDN2"
3.16753386524236,3.00056926554383,9.46079758575137,7.14018355104371e-18,2.90034255843396e-14,29.9236374776414,"ENSG00000244694.8","PTCHD4"
2.22019117463745,2.09002326527449,9.35755067727961,1.4197265086138e-17,4.8057742316577e-14,29.3398482078448,"ENSG00000182463.17","TSHZ2"
3.11789237599799,0.641412084123089,9.30414924600717,2.02349108248381e-17,5.87101484074946e-14,28.6751296163168,"ENSG00000178401.17","DNAJC22"
3.70166573976647,-2.29495647811317,9.279234003502,2.38664297517979e-17,5.8781073496379e-14,28.119269500219,"ENSG00000139973.19","SYT16"
3.03935952143293,7.45400188925824,9.26602220138808,2.60477430560025e-17,5.8781073496379e-14,28.7280442122299,"ENSG00000187955.14","COL14A1"
3.74007978525424,-1.87606554110149,9.15679644298512,5.35754668183782e-17,1.08811773108126e-13,27.1885355258951,"ENSG00000139330.6","KERA"
1.4769547366608,4.8841681198767,9.11229255742061,7.18046160993267e-17,1.32577432088848e-13,27.7430507616379,"ENSG00000156011.19","PSD3"
1.38784688343752,6.35679937779001,8.83252631969604,4.46504309092028e-16,7.55708543138258e-13,25.9331436371002,"ENSG00000138185.21","ENTPD1"
1.5954675003272,5.94799224022018,8.57862593072487,2.29560747928264e-15,3.58644522340235e-12,24.3346189116253,"ENSG00000134247.11","PTGFRN"
